uid,recorduid,domainID,siteID,namedLocation,collectedBy,startDate,collectDate,stationNumber,tapeDistance,streamProfilingMethod,waterDepth,edgeFactor,surfaceVelocity,oneFifthDepthVelocity,twoFifthDepthVelocity,threeFifthDepthVelocity,fourFifthDepthVelocity,bedVelocity,averageVelocity,sectionArea,sectionFlow,lowVelocityQF,dataQF
"437755e9-749f-43bd-8d92-09408243e7af","389d379c-977e-4934-88ca-eab029b6d042","D10","ARIK","ARIK.AOS.discharge","BNANCE","2018-01-31T20:24Z","2018-01-31T20:24Z",18,2.70,"1 point",0.32,"-",0.00,0.00,0.00,0.09,0.00,0.00,0.09,0.03,3.01,0,
"64b27264-162b-46be-b168-fafff68f435a","389d379c-977e-4934-88ca-eab029b6d042","D10","ARIK","ARIK.AOS.discharge","BNANCE","2018-01-31T20:24Z","2018-01-31T20:24Z",7,1.60,"1 point",0.31,"-",0.00,0.00,0.00,0.07,0.00,0.00,0.07,0.03,2.14,0,
"d5d9cc09-80a4-4a6e-8bfa-4886e5fb74ae","389d379c-977e-4934-88ca-eab029b6d042","D10","ARIK","ARIK.AOS.discharge","BNANCE","2018-01-31T20:24Z","2018-01-31T20:24Z",3,1.20,"1 point",0.26,"-",0.00,0.00,0.00,0.02,0.00,0.00,0.02,0.03,0.55,0,
"8553b6f6-c632-4633-ad7d-7642aa8e0412","389d379c-977e-4934-88ca-eab029b6d042","D10","ARIK","ARIK.AOS.discharge","BNANCE","2018-01-31T20:24Z","2018-01-31T20:24Z",19,2.80,"1 point",0.30,"-",0.00,0.00,0.00,0.03,0.00,0.00,0.03,0.03,0.87,0,
"8b952070-c2f9-4b3c-ac05-2b8086dc4199","389d379c-977e-4934-88ca-eab029b6d042","D10","ARIK","ARIK.AOS.discharge","BNANCE","2018-01-31T20:24Z","2018-01-31T20:24Z",6,1.50,"1 point",0.28,"-",0.00,0.00,0.00,0.07,0.00,0.00,0.07,0.03,2.06,0,
"2ac9a4e7-b5e2-4863-b845-916bd5857483","389d379c-977e-4934-88ca-eab029b6d042","D10","ARIK","ARIK.AOS.discharge","BNANCE","2018-01-31T20:24Z","2018-01-31T20:24Z",10,1.90,"1 point",0.32,"-",0.00,0.00,0.00,0.06,0.00,0.00,0.06,0.03,2.02,0,
"bb4eae52-8711-4df7-b925-8f4daa0d0611","389d379c-977e-4934-88ca-eab029b6d042","D10","ARIK","ARIK.AOS.discharge","BNANCE","2018-01-31T20:24Z","2018-01-31T20:24Z",21,3.00,"0 point",0.00,"-",0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0,
"6c286535-d1c4-4968-bb95-55b2c7f5bbca","389d379c-977e-4934-88ca-eab029b6d042","D10","ARIK","ARIK.AOS.discharge","BNANCE","2018-01-31T20:24Z","2018-01-31T20:24Z",11,2.00,"1 point",0.34,"-",0.00,0.00,0.00,0.08,0.00,0.00,0.08,0.03,2.62,0,
"ef8d320b-5575-4e25-bcd1-61e09fa911f6","389d379c-977e-4934-88ca-eab029b6d042","D10","ARIK","ARIK.AOS.discharge","BNANCE","2018-01-31T20:24Z","2018-01-31T20:24Z",9,1.80,"1 point",0.31,"-",0.00,0.00,0.00,0.09,0.00,0.00,0.09,0.03,2.65,0,
"0575e3ef-5fb9-4458-82a1-0bc67423768a","389d379c-977e-4934-88ca-eab029b6d042","D10","ARIK","ARIK.AOS.discharge","BNANCE","2018-01-31T20:24Z","2018-01-31T20:24Z",20,2.90,"1 point",0.26,"-",0.00,0.00,0.00,0.01,0.00,0.00,0.01,0.03,0.27,0,
"ce37b3cf-7d80-4b2f-b959-145d29559d5b","389d379c-977e-4934-88ca-eab029b6d042","D10","ARIK","ARIK.AOS.discharge","BNANCE","2018-01-31T20:24Z","2018-01-31T20:24Z",2,1.10,"1 point",0.24,"-",0.00,0.00,0.00,0.01,0.00,0.00,0.01,0.02,0.18,1,
"061e920f-15be-4fe2-8a0e-25761b01c758","389d379c-977e-4934-88ca-eab029b6d042","D10","ARIK","ARIK.AOS.discharge","BNANCE","2018-01-31T20:24Z","2018-01-31T20:24Z",4,1.30,"1 point",0.27,"-",0.00,0.00,0.00,0.06,0.00,0.00,0.06,0.03,1.53,0,
"155e9899-2d1d-45b9-aa6a-d930829c15ea","389d379c-977e-4934-88ca-eab029b6d042","D10","ARIK","ARIK.AOS.discharge","BNANCE","2018-01-31T20:24Z","2018-01-31T20:24Z",15,2.40,"1 point",0.34,"-",0.00,0.00,0.00,0.19,0.00,0.00,0.19,0.03,6.55,0,
"9451e660-73b4-4e9d-8c2d-96ba9ab4cb1d","389d379c-977e-4934-88ca-eab029b6d042","D10","ARIK","ARIK.AOS.discharge","BNANCE","2018-01-31T20:24Z","2018-01-31T20:24Z",13,2.20,"1 point",0.33,"-",0.00,0.00,0.00,0.14,0.00,0.00,0.14,0.03,4.59,0,
"6018567e-0c2c-47fc-a9d3-8ed08fe170d0","389d379c-977e-4934-88ca-eab029b6d042","D10","ARIK","ARIK.AOS.discharge","BNANCE","2018-01-31T20:24Z","2018-01-31T20:24Z",5,1.40,"1 point",0.26,"-",0.00,0.00,0.00,0.08,0.00,0.00,0.08,0.03,2.05,0,
"ef31a948-b5ca-4de4-b3bf-5d9a00e04f75","389d379c-977e-4934-88ca-eab029b6d042","D10","ARIK","ARIK.AOS.discharge","BNANCE","2018-01-31T20:24Z","2018-01-31T20:24Z",8,1.70,"1 point",0.30,"-",0.00,0.00,0.00,0.07,0.00,0.00,0.07,0.03,1.96,0,
"16d9df36-47e9-4250-a479-f5a3f5c86f2d","389d379c-977e-4934-88ca-eab029b6d042","D10","ARIK","ARIK.AOS.discharge","BNANCE","2018-01-31T20:24Z","2018-01-31T20:24Z",12,2.10,"1 point",0.34,"-",0.00,0.00,0.00,0.08,0.00,0.00,0.08,0.03,2.64,0,
"b6f47fd3-b709-4e38-bc9e-174badd74779","389d379c-977e-4934-88ca-eab029b6d042","D10","ARIK","ARIK.AOS.discharge","BNANCE","2018-01-31T20:24Z","2018-01-31T20:24Z",1,1.00,"0 point",0.00,"-",0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0,
"1192535c-ec1d-4c6b-852b-15e09d08a9e1","389d379c-977e-4934-88ca-eab029b6d042","D10","ARIK","ARIK.AOS.discharge","BNANCE","2018-01-31T20:24Z","2018-01-31T20:24Z",17,2.60,"1 point",0.33,"-",0.00,0.00,0.00,0.10,0.00,0.00,0.10,0.03,3.29,0,
"c65837b3-503a-4f37-9e0b-7b66d8bee4bc","389d379c-977e-4934-88ca-eab029b6d042","D10","ARIK","ARIK.AOS.discharge","BNANCE","2018-01-31T20:24Z","2018-01-31T20:24Z",14,2.30,"1 point",0.34,"-",0.00,0.00,0.00,0.21,0.00,0.00,0.21,0.03,7.25,0,
"55c530d5-73f8-4b6a-a125-c5c0281aecc4","389d379c-977e-4934-88ca-eab029b6d042","D10","ARIK","ARIK.AOS.discharge","BNANCE","2018-01-31T20:24Z","2018-01-31T20:24Z",16,2.50,"1 point",0.34,"-",0.00,0.00,0.00,0.15,0.00,0.00,0.15,0.03,4.95,0,
